model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-1.2616179,-17.219942,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-0.1699975,-17.776552,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,4.086741,-12.916563,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,0.75891316,-17.213186,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-0.4001751,-16.604223,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen,-7.350303,-15.179826,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen-d256,-6.710504,-16.07846,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-tiny-16k-seqlen-d128,-7.6113553,-13.955648,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8441865827118354,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-small-32k-seqlen,-5.5239167,-14.629876,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8614033701713478,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-medium-160k-seqlen,-6.487768,-14.106972,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8750736245081588,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-medium-450k-seqlen,-6.4009743,-12.800912,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8630889851052007,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/hyenadna-large-1m-seqlen,-7.279812,-12.238428,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.882996050302736,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_40b_base,-9.188112,-35.817787,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.6539986300080781,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_40b,-14.654743,-36.832886,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7225756725075806,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_20b,-15.049533,-36.84236,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7171525891693636,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_7b_base,10.855736,35.967148,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8250326130547551,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_7b_262k,10.895917,36.951443,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8205974210922076,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_7b,11.790985,36.627422,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8167636701690921,p8_ee36_auto_euc,8,36,auto,euclidean,pca
arcinstitute/evo2_1b_base,-7.1689115,-2.1172528,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7342200870482283,p8_ee36_auto_euc,8,36,auto,euclidean,pca
evo-design/evo-2-7b-8k-microviridae,6.024278,-13.341727,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.78847106815382,p8_ee36_auto_euc,8,36,auto,euclidean,pca
evo-design/evo-1-7b-131k-microviridae,-2.8300204,1.1448534,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7572457351321731,p8_ee36_auto_euc,8,36,auto,euclidean,pca
evo-design/evo-1.5-8k-base,7.6940436,19.686085,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7909976081239937,p8_ee36_auto_euc,8,36,auto,euclidean,pca
togethercomputer/evo-1-8k-base,-11.619296,-1.379041,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7424306370027449,p8_ee36_auto_euc,8,36,auto,euclidean,pca
togethercomputer/evo-1-131k-base,7.5470495,18.693022,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7954309090655141,p8_ee36_auto_euc,8,36,auto,euclidean,pca
